size_kb,seq,random,random_idx
769,1.39378,14.5546,2.41827
770,1.36513,14.769,2.4718
771,1.45443,14.8075,2.50477
772,1.38518,14.9095,2.40653
773,1.38848,15.0309,2.43823
774,1.38563,15.0079,2.41049
775,1.37834,14.2336,2.41119
776,1.38481,14.6899,2.41823
777,1.45355,14.7369,2.42948
778,1.38694,14.2665,2.42699
779,1.39169,14.3328,2.47842
780,1.38822,14.4794,2.47587
781,1.38581,15.4593,2.42943
782,1.39117,14.5407,2.41667
783,1.46378,14.8398,2.42657
784,1.41211,14.5756,2.42766
785,1.44312,14.1374,2.39698
786,1.3747,14.0445,2.52126
787,1.39297,14.4583,2.4599
788,1.39245,14.45,2.3762
789,1.38569,14.6918,2.40313
790,1.38539,14.8308,2.5195
791,1.38717,15.0112,2.45223
792,1.4024,14.2958,2.51169
793,1.38553,14.2823,2.4688
794,1.38647,14.4532,2.39771
795,1.36409,14.5741,2.40459
796,1.38567,14.4649,2.43105
797,1.38722,14.9851,2.42594
798,1.38528,14.448,2.45888
799,1.38047,14.897,2.57161
800,1.39576,14.5425,2.40987
801,1.393,14.3447,2.43882
802,1.39351,14.497,2.47096
803,1.39218,14.5388,2.42151
804,1.38821,14.8217,2.52379
805,1.3875,14.8531,2.44606
806,1.38842,14.4688,2.43224
807,1.35011,14.0685,2.41662
808,1.45138,14.8982,2.55901
809,1.45365,15.1047,2.46824
810,1.38805,14.5475,2.43886
811,1.39301,14.6651,2.44293
812,1.44686,14.8196,2.44558
813,1.38414,14.9047,2.45065
814,1.38949,14.9529,2.4692
815,1.38698,14.5675,2.44564
816,1.38589,14.5177,2.41469
817,1.39403,14.1266,2.43122
818,1.37829,14.8112,2.45933
819,1.3742,13.9724,2.48478
820,1.38972,13.8555,2.52076
821,1.40562,14.5028,2.51289
822,1.39254,14.6694,2.40805
823,1.38606,14.7852,2.45894
824,1.38,14.6866,2.4697
825,1.39085,14.9691,2.50608
